iter	Logloss
0	0.08973027297
1	0.01944284495
2	0.007452212027
3	0.004502630005
4	0.003454573427
5	0.002957037353
6	0.002694675896
7	0.002495104132
8	0.002414432543
9	0.002325186204
10	0.002287275187
11	0.002243408387
12	0.002190457019
13	0.002153990132
14	0.002057187168
15	0.001971353247
16	0.001920973547
17	0.001901489532
18	0.001849840661
19	0.001795800409
20	0.001736222006
21	0.001702167666
22	0.00167119535
23	0.001628628367
24	0.001553145179
25	0.001505271883
26	0.001478336946
27	0.001450219953
28	0.001433607505
29	0.001392511384
30	0.001360319254
31	0.001337335367
32	0.001316781326
33	0.001303108484
34	0.001264507444
35	0.001230373327
36	0.00120162259
37	0.001158001147
38	0.001148691876
39	0.001129421431
40	0.001094830521
41	0.001070201268
42	0.0010526712
43	0.001035141197
44	0.001012905135
45	0.0009928070237
46	0.0009687087476
47	0.0009611652148
48	0.0009487290621
49	0.000942149724
50	0.0009105632459
51	0.0008898534777
52	0.000876379841
53	0.0008729834836
54	0.0008603134823
55	0.0008310074224
56	0.0008157461962
57	0.0008051758432
58	0.0007957317292
59	0.0007917554117
60	0.0007843868194
61	0.0007701091455
62	0.0007647618212
63	0.0007566193376
64	0.0007515177736
65	0.0007352242546
66	0.0007235837597
67	0.0007155551734
68	0.0007092524568
69	0.0006994284344
70	0.0006979031862
71	0.0006875169065
72	0.0006826170688
73	0.0006756028679
74	0.0006455243039
75	0.0006402474012
76	0.0006363297439
77	0.0006300897665
78	0.0006218202862
79	0.0006134250483
80	0.0006053168598
81	0.0005987335294
82	0.0005918595038
83	0.0005854836953
84	0.0005796928513
85	0.0005743475608
86	0.0005657968054
87	0.0005584729104
88	0.0005532289417
89	0.0005487186882
90	0.0005445047637
91	0.000540308312
92	0.0005332213918
93	0.0005244070243
94	0.0005182552582
95	0.0005163077961
96	0.0005099098384
97	0.0004949666197
98	0.0004905279881
99	0.0004792587172
100	0.0004576146395
101	0.0004533523326
102	0.0004507150595
103	0.0004494066474
104	0.0004472717746
105	0.000444960944
106	0.0004436336766
107	0.0004322780555
108	0.000429600804
109	0.0004274531499
110	0.000417217331
111	0.0004149394015
112	0.0004084747927
113	0.0004040006986
114	0.0004006103787
115	0.0003986376566
116	0.0003943551104
117	0.0003888887221
118	0.0003800381553
119	0.000376521111
120	0.0003717624258
121	0.0003647992335
122	0.0003550008222
123	0.0003495248591
124	0.0003324931204
125	0.0003312779183
126	0.0003234874962
127	0.0003152285848
128	0.0003128984556
129	0.0003051418227
130	0.0002864810695
131	0.0002843991894
132	0.0002835453267
133	0.0002826501987
134	0.0002752718346
135	0.0002683125436
136	0.0002637297232
137	0.0002627904583
138	0.0002619318806
139	0.0002611946047
140	0.0002589851995
141	0.0002544021007
142	0.0002483766715
143	0.0002408764624
144	0.0002360970401
145	0.000234707998
146	0.0002301081728
147	0.0002293962046
148	0.0002287885215
149	0.0002266353404
150	0.0002228870664
151	0.0002220711325
152	0.0002214294358
153	0.0002185169576
154	0.0002178673174
155	0.0002154808184
156	0.0002119011671
157	0.000207828821
158	0.0002066795525
159	0.0002056299435
160	0.0002042001243
161	0.0002005632048
162	0.0001988078063
163	0.0001944994146
164	0.0001931680613
165	0.0001894801895
166	0.0001854992671
167	0.0001829535671
168	0.0001823043597
169	0.0001804849683
170	0.0001793454059
171	0.0001763766146
172	0.0001751031806
173	0.0001747270379
174	0.0001719967959
175	0.0001703194409
176	0.0001681306537
177	0.0001652496084
178	0.0001644045489
179	0.0001639227425
180	0.0001637586258
181	0.0001618398116
182	0.000159305042
183	0.0001568350909
184	0.0001554375359
185	0.0001542594448
186	0.0001537492215
187	0.0001516011322
188	0.0001503832639
189	0.0001499522926
190	0.000148093104
191	0.0001453282031
192	0.0001445821724
193	0.000142226912
194	0.0001405193669
195	0.0001399179728
196	0.0001381314093
197	0.0001373774022
198	0.0001366715785
199	0.0001359099171
200	0.0001332112912
201	0.0001308195942
202	0.0001304846409
203	0.0001296758169
204	0.0001290424344
205	0.0001284052773
206	0.0001272699682
207	0.0001246146482
208	0.0001238453218
209	0.0001234486812
210	0.0001183376217
211	0.0001178820565
212	0.0001165659382
213	0.0001159110537
214	0.0001153325336
215	0.0001143525928
216	0.0001141941568
217	0.000113414683
218	0.000112593886
219	0.0001120637891
220	0.0001108603645
221	0.0001098134279
222	0.0001093680571
223	0.0001082578534
224	0.0001053666235
225	0.0001042596859
226	0.0001020653381
227	0.000101092121
228	9.996500112e-05
229	9.947203523e-05
230	9.880858965e-05
231	9.652880532e-05
232	9.610888284e-05
233	9.531103657e-05
234	9.456055063e-05
235	9.302796013e-05
236	9.173493898e-05
237	9.128069487e-05
238	9.08344728e-05
239	9.023493978e-05
240	8.978273947e-05
241	8.803770175e-05
242	8.788966634e-05
243	8.573047794e-05
244	8.520509794e-05
245	8.500343551e-05
246	8.467381202e-05
247	8.409865058e-05
248	8.389954613e-05
